,id,title,context,question,answers,context_length,answer_text,start_index,answer_pos,context_cat,answer_pos_cat,answer_start_cat
102973,572ec147c246551400ce4610,Elevator,"During up-peak mode (also called moderate incoming traffic), elevator cars in a group are recalled to the lobby to provide expeditious service to passengers arriving at the building, most typically in the morning as people arrive for work or at the conclusion of a lunch-time period. Elevators are dispatched one-by-one when they reach a pre-determined passenger load, or when they have had their doors opened for a certain period of time. The next elevator to be dispatched usually has its hall lantern or a ""this car leaving next"" sign illuminated to encourage passengers to make maximum use of the available elevator system capacity. Some elevator banks are programmed so that at least one car will always return to the lobby floor and park whenever it becomes free.",What is another name for up-peak mode?,"{'text': array(['moderate incoming traffic'], dtype=object), 'answer_start': array([33], dtype=int32)}",769,moderate incoming traffic,33,0.04291287386215865,"(700, 1000]","[0.0, 0.25)","[0, 150)"
88666,572847c4ff5b5019007da0be,War_on_Terror,"In a major split in the ranks of Al Qaeda's organization, the Iraqi franchise, known as Al Qaeda in Iraq covertly invaded Syria and the Levant and began participating in the ongoing Syrian Civil War, gaining enough support and strength to re-invade Iraq's western provinces under the name of the Islamic State of Iraq and the Levant (ISIS/ISIL), taking over much of the country in a blitzkrieg-like action and combining the Iraq insurgency and Syrian Civil War into a single conflict. Due to their extreme brutality and a complete change in their overall ideology, Al Qaeda's core organization in Central Asia eventually denounced ISIS and directed their affiliates to cut off all ties with this organization. Many analysts[who?] believe that because of this schism, Al Qaeda and ISIL are now in a competition to retain the title of the world's most powerful terrorist organization.",What relationship do Al Qaeda and ISIS now have?,"{'text': array(['competition'], dtype=object), 'answer_start': array([798], dtype=int32)}",882,competition,798,0.9047619047619048,"(700, 1000]","[0.5, 1.5)","[400, 5000)"
129918,5735bca5dc94161900571f7a,Kathmandu,"Believers in Pashupatinath (mainly Hindus) are allowed to enter the temple premises, but non-Hindu visitors are allowed to view the temple only from the across the Bagmati River. The priests who perform the services at this temple have been Brahmins from Karnataka, South India since the time of Malla king Yaksha Malla. This tradition is believed to have been started at the request of Adi Shankaracharya who sought to unify the states of Bharatam (Unified India) by encouraging cultural exchange. This procedure is followed in other temples around India, which were sanctified by Adi Shankaracharya.",Who supposedly encouraged the usage of Karnataka Brahmin priests at Pashupatinath Temple?,"{'text': array(['Adi Shankaracharya'], dtype=object), 'answer_start': array([387], dtype=int32)}",601,Adi Shankaracharya,387,0.6439267886855241,"(600, 700]","[0.5, 1.5)","[150, 400)"
100565,5a270fb5c93d92001a4003ac,Post-punk,"During the initial punk era, a variety of entrepreneurs interested in local punk-influenced music scenes began founding independent record labels, including Rough Trade (founded by record shop owner Geoff Travis) and Factory (founded by Manchester-based television personality Tony Wilson). By 1977, groups began pointedly pursuing methods of releasing music independently , an idea disseminated in particular by the Buzzcocks' release of their Spiral Scratch EP on their own label as well as the self-released 1977 singles of Desperate Bicycles. These DIY imperatives would help form the production and distribution infrastructure of post-punk and the indie music scene that later blossomed in the mid-1980s.",Where was Geoff Travis's Factory based?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",709,,-1,-0.0014104372355430183,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
42411,5ad2caa7d7d075001a42a275,Antarctica,"The passing of the Antarctic Conservation Act (1978) in the U.S. brought several restrictions to U.S. activity on Antarctica. The introduction of alien plants or animals can bring a criminal penalty, as can the extraction of any indigenous species. The overfishing of krill, which plays a large role in the Antarctic ecosystem, led officials to enact regulations on fishing. The Convention for the Conservation of Antarctic Marine Living Resources (CCAMLR), a treaty that came into force in 1980, requires that regulations managing all Southern Ocean fisheries consider potential effects on the entire Antarctic ecosystem. Despite these new acts, unregulated and illegal fishing, particularly of Patagonian toothfish (marketed as Chilean Sea Bass in the U.S.), remains a serious problem. The illegal fishing of toothfish has been increasing, with estimates of 32,000 tonnes (35,300 short tons) in 2000.",What year did the CMACLR come into force?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",902,,-1,-0.0011086474501108647,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
38331,570c119e6b8089140040fb14,FC_Barcelona,"Though it is the most played local derby in the history of La Liga, it is also the most unbalanced, with Barcelona overwhelmingly dominant. In the primera división league table, Espanyol has only managed to end above Barça on three occasions from 80 seasons (1928–2015) and the only all-Catalan Copa del Rey final was won by Barça in 1957. Espanyol has the consolation of achieving the largest margin win with a 6–0 in 1951, while Barcelona's biggest win was 5–0 on five occasions (in 1933, 1947, 1964, 1975 and 1992). Espanyol achieved a 2–1 win against Barça during the 2008–09 season, becoming the first team to defeat Barcelona at Camp Nou in their treble-winning season.",What team won the all-Catalan Copa del Rey in 1957?,"{'text': array(['Barcelona'], dtype=object), 'answer_start': array([105], dtype=int32)}",675,Barcelona,105,0.15555555555555556,"(600, 700]","[0.0, 0.25)","[0, 150)"
87679,5acfafea77cf76001a685873,Federalism,"The post-Imperial nature of Russian subdivision of government changed towards a generally autonomous model which began with the establishment of the USSR (of which Russia was governed as part). It was liberalized in the aftermath of the Soviet Union, with the reforms under Boris Yeltsin preserving much of the Soviet structure while applying increasingly liberal reforms to the governance of the constituent republics and subjects (while also coming into conflict with Chechen secessionist rebels during the Chechen War). Some of the reforms under Yeltsin were scaled back by Vladimir Putin.",Who was in charge when the reforms was scrapped? ,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",592,,-1,-0.0016891891891891893,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
41857,570d615efed7b91900d45f84,Franco-Prussian_War,"On 1 September 1870, the battle opened with the Army of Châlons, with 202 infantry battalions, 80 cavalry squadrons and 564 guns, attacking the surrounding Prussian Third and Meuse Armies totaling 222 infantry battalions, 186 cavalry squadrons and 774 guns. General De Wimpffen, the commander of the French V Corps in reserve, hoped to launch a combined infantry and cavalry attack against the Prussian XI Corps. But by 11:00, Prussian artillery took a toll on the French while more Prussian troops arrived on the battlefield. The French cavalry, commanded by General Marguerite, launched three desperate attacks on the nearby village of Floing where the Prussian XI Corps was concentrated. Marguerite was killed leading the very first charge and the two additional charges led to nothing but heavy losses. By the end of the day, with no hope of breaking out, Napoleon III called off the attacks. The French lost over 17,000 men, killed or wounded, with 21,000 captured. The Prussians reported their losses at 2,320 killed, 5,980 wounded and 700 captured or missing. By the next day, on 2 September, Napoleon III surrendered and was taken prisoner with 104,000 of his soldiers. It was an overwhelming victory for the Prussians, for they not only captured an entire French army, but the leader of France as well. The defeat of the French at Sedan had decided the war in Prussia's favour. One French army was now immobilised and besieged in the city of Metz, and no other forces stood on French ground to prevent a German invasion. Nevertheless, the war would continue.",Who commanded the French V Corps in reserve?,"{'text': array(['General De Wimpffen'], dtype=object), 'answer_start': array([258], dtype=int32)}",1567,General De Wimpffen,258,0.16464582003828973,"(1000, 5000]","[0.0, 0.25)","[150, 400)"
43632,570e5e200dc6ce1900204fb8,Order_of_the_British_Empire,"Appointments to the Order of the British Empire were at first made on the nomination of the self-governing Dominions of the Empire, the Viceroy of India, and the colonial governors, as well as on nominations from within the United Kingdom. As the Empire evolved into the Commonwealth, nominations continued to come from the Commonwealth realms, in which the monarch remained head of state. These overseas nominations have been discontinued in realms that have established their own Orders—such as the Order of Australia, the Order of Canada, and the New Zealand Order of Merit—but members of the Order are still appointed in the British Overseas Territories.",Why did the oversea nominations discontinue?,"{'text': array(['established their own Orders'], dtype=object), 'answer_start': array([460], dtype=int32)}",658,established their own Orders,460,0.6990881458966566,"(600, 700]","[0.5, 1.5)","[400, 5000)"
84728,57280c162ca10214002d9ca3,Time,"On the other hand, the crew on board the spaceship also perceives the observer as slowed down and flattened along the spaceship's direction of travel, because both are moving at very nearly the speed of light relative to each other. Because the outside universe appears flattened to the spaceship, the crew perceives themselves as quickly traveling between regions of space that (to the stationary observer) are many light years apart. This is reconciled by the fact that the crew's perception of time is different from the stationary observer's; what seems like seconds to the crew might be hundreds of years to the stationary observer. In either case, however, causality remains unchanged: the past is the set of events that can send light signals to an entity and the future is the set of events to which an entity can send light signals.",What remains unchanged in both the cases of the spaceship crew and of the stationary observer?,"{'text': array(['causality'], dtype=object), 'answer_start': array([663], dtype=int32)}",841,causality,663,0.7883472057074911,"(700, 1000]","[0.5, 1.5)","[400, 5000)"
5362,56d0a895234ae51400d9c401,Buddhism,"Ajahn Sucitto describes the path as ""a mandala of interconnected factors that support and moderate each other."" The eight factors of the path are not to be understood as stages, in which each stage is completed before moving on to the next. Rather, they are understood as eight significant dimensions of one's behaviour—mental, spoken, and bodily—that operate in dependence on one another; taken together, they define a complete path, or way of living.",How are the eight factors of the Noble Eightfold Path to be understood?,"{'text': array([""as eight significant dimensions of one's behaviour""], dtype=object), 'answer_start': array([269], dtype=int32)}",452,as eight significant dimensions of one's behaviour,269,0.5951327433628318,"(0, 600]","[0.5, 1.5)","[150, 400)"
70711,5a5806ac770dc0001aeeff5a,Utrecht,"Another landmark is the old centre and the canal structure in the inner city. The Oudegracht is a curved canal, partly following the ancient main branch of the Rhine. It is lined with the unique wharf-basement structures that create a two-level street along the canals. The inner city has largely retained its Medieval structure, and the moat ringing the old town is largely intact. Because of the role of Utrecht as a fortified city, construction outside the medieval centre and its city walls was restricted until the 19th century. Surrounding the medieval core there is a ring of late 19th- and early 20th-century neighbourhoods, with newer neighbourhoods positioned farther out. The eastern part of Utrecht remains fairly open. The Dutch Water Line, moved east of the city in the early 19th century required open lines of fire, thus prohibiting all permanent constructions until the middle of the 20th century on the east side of the city.",What Medieval structure has largely collapsed?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",943,,-1,-0.0010604453870625664,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
33666,5709cc734103511400d59446,United_States_dollar,"The dollar was first based on the value and look of the Spanish dollar, used widely in Spanish America from the 16th to the 19th centuries. The first dollar coins issued by the United States Mint (founded 1792) were similar in size and composition to the Spanish dollar, minted in Mexico and Peru. The Spanish, U.S. silver dollars, and later, Mexican silver pesos circulated side by side in the United States, and the Spanish dollar and Mexican peso remained legal tender until the Coinage Act of 1857. The coinage of various English colonies also circulated. The lion dollar was popular in the Dutch New Netherland Colony (New York), but the lion dollar also circulated throughout the English colonies during the 17th century and early 18th century. Examples circulating in the colonies were usually worn so that the design was not fully distinguishable, thus they were sometimes referred to as ""dog dollars"".",What was the look of the dollar based on?,"{'text': array(['Spanish dollar'], dtype=object), 'answer_start': array([56], dtype=int32)}",910,Spanish dollar,56,0.06153846153846154,"(700, 1000]","[0.0, 0.25)","[0, 150)"
20169,56e788b100c9c71400d7725b,Nanjing,"The first emperor of the Ming dynasty, Zhu Yuanzhang (the Hongwu Emperor), who overthrew the Yuan dynasty, renamed the city Yingtian, rebuilt it, and made it the dynastic capital in 1368. He constructed a 48 km (30 mi) long city wall around Yingtian, as well as a new Ming Palace complex, and government halls. It took 200,000 laborers 21 years to finish the project. The present-day City Wall of Nanjing was mainly built during that time and today it remains in good condition and has been well preserved. It is among the longest surviving city walls in China. The Jianwen Emperor ruled from 1398 to 1402.",Who was the first emperor of the Ming dynasty?,"{'text': array(['Zhu Yuanzhang'], dtype=object), 'answer_start': array([39], dtype=int32)}",606,Zhu Yuanzhang,39,0.06435643564356436,"(600, 700]","[0.0, 0.25)","[0, 150)"
8165,5ad02d2777cf76001a686cef,Republic_of_the_Congo,"As of 2010, the maternal mortality rate was 560 deaths/100,000 live births, and the infant mortality rate was 59.34 deaths/1,000 live births. Female genital mutilation (FGM) is rare in the country, being confined to limited geographic areas of the country.",Where is female genital mutilation not found in the Congo?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",256,,-1,-0.00390625,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
83704,5728af382ca10214002da5ba,History_of_India,"The post-Mughal era was dominated by the rise of the Maratha suzerainty as other small regional states (mostly late Mughal tributary states) emerged, and also by the increasing activities of European powers. There is no doubt that the single most important power to emerge in the long twilight of the Mughal dynasty was the Maratha confederacy. The Maratha kingdom was founded and consolidated by Chatrapati Shivaji, a Maratha aristocrat of the Bhonsle clan who was determined to establish Hindavi Swarajya. Sir J.N. Sarkar described Shivaji as ""the last great constructive genius and nation builder that the Hindu race has produced"". However, the credit for making the Marathas formidable power nationally goes to Peshwa Bajirao I. Historian K.K. Datta wrote about Bajirao I:",The rise of what dynasty followed the era of the Mughals?,"{'text': array(['Maratha suzerainty'], dtype=object), 'answer_start': array([53], dtype=int32)}",776,Maratha suzerainty,53,0.06829896907216494,"(700, 1000]","[0.0, 0.25)","[0, 150)"
74553,572791465951b619008f8dc4,Carnival,"Carnival in Haiti started in 1804 in the capital Port-au-Prince after the declaration of independence. The Port-au-Prince Carnival is one of the largest in North America. It is known as Kanaval in the Creole language. It starts in January, known as ""Pre-Kanaval"", while the main carnival activities begin in February. In July 2012, Haiti had another carnival called Kanaval de Fleur. Beautiful costumes, floats, Rara parades, masks, foods, and popular rasin music (like Boukman Eksperyans, Foula Vodoule, Tokay, Boukan Ginen, Eritaj, etc.) and kompa bands (such as T-Vice, Djakout No. 1, Sweet Micky, Kreyòl La, D.P. Express, Mizik Mizik, Ram, T-Micky, Carimi, Djakout Mizik, and Scorpio Fever) play for dancers in the streets of the plaza of Champ-de-Mars. An annual song competition takes place.",What type of bands play for dancers in the streets?,"{'text': array(['kompa'], dtype=object), 'answer_start': array([544], dtype=int32)}",797,kompa,544,0.6825595984943539,"(700, 1000]","[0.5, 1.5)","[400, 5000)"
57236,5729508d3f37b31900478237,Germans,"The Nazis, led by Adolf Hitler, attempted to unite all the people they claimed were ""Germans"" (Volksdeutsche) into one realm, including ethnic Germans in eastern Europe, many of whom had emigrated more than one hundred fifty years before and developed separate cultures in their new lands. This idea was initially welcomed by many ethnic Germans in Sudetenland, Austria, Poland, Danzig and western Lithuania, particularly the Germans from Klaipeda (Memel). The Swiss resisted the idea. They had viewed themselves as a distinctly separate nation since the Peace of Westphalia of 1648.",Who wanted to unite all of the Germans all over the area?,"{'text': array(['The Nazis'], dtype=object), 'answer_start': array([0], dtype=int32)}",583,The Nazis,0,0.0,"(0, 600]","[0.0, 0.25)","[0, 150)"
59842,57266ea5dd62a815002e849b,Predation,"Many organisms (of which humans are prime examples) eat from multiple levels of the food chain and, thus, make this classification problematic. A carnivore may eat both secondary and tertiary consumers, and its prey may itself be difficult to classify for similar reasons. Organisms showing both carnivory and herbivory are known as omnivores. Even herbivores such as the giant panda may supplement their diet with meat. Scavenging of carrion provides a significant part of the diet of some of the most fearsome predators. Carnivorous plants would be very difficult to fit into this classification, producing their own food but also digesting anything that they may trap. Organisms that eat detritivores or parasites would also be difficult to classify by such a scheme.",Why are species can be difficult to classify because they?,"{'text': array(['eat from multiple levels of the food chain'], dtype=object), 'answer_start': array([52], dtype=int32)}",770,eat from multiple levels of the food chain,52,0.06753246753246753,"(700, 1000]","[0.0, 0.25)","[0, 150)"
40279,570d2ad5fed7b91900d45c8a,Macintosh,"Starting in 2002, Apple moved to eliminate CRT displays from its product line as part of aesthetic design and space-saving measures with the iMac G4. However, the new iMac with its flexible LCD flat-panel monitor was considerably more expensive on its debut than the preceding iMac G3, largely due to the higher cost of the LCD technology at the time. In order to keep the Macintosh affordable for the education market and due to obsolescence of the iMac G3, Apple created the eMac in April 2002 as the intended successor; however the eMac's CRT made it relatively bulky and somewhat outdated, while its all-in-one construction meant it could not be expanded to meet consumer demand for larger monitors. The iMac G4's relatively high prices were approaching that of laptops which were portable and had higher resolution LCD screens. Meanwhile, Windows PC manufacturers could offer desktop configurations with LCD flat panel monitors at prices comparable to the eMac and at much lower cost than the iMac G4. The flop of the Power Mac G4 Cube, along with the more expensive iMac G4 and heavy eMac, meant that Macintosh desktop sales never reached the market share attained by the previous iMac G3. For the next half-decade while Macintosh sales held steady, it would instead be the iPod portable music player and iTunes music download service that would drive Apple's sales growth.",Why was the new iMac G4 considerably more expensive than the G3?,"{'text': array(['higher cost of the LCD technology'], dtype=object), 'answer_start': array([305], dtype=int32)}",1379,higher cost of the LCD technology,305,0.22117476432197244,"(1000, 5000]","[0.0, 0.25)","[150, 400)"
126261,5a4e7ec8755ab9001a10f498,Geological_history_of_Earth,"The Paleozoic spanned from roughly 541 to 252 million years ago (Ma) and is subdivided into six geologic periods; from oldest to youngest they are the Cambrian, Ordovician, Silurian, Devonian, Carboniferous and Permian. Geologically, the Paleozoic starts shortly after the breakup of a supercontinent called Pannotia and at the end of a global ice age. Throughout the early Paleozoic, the Earth's landmass was broken up into a substantial number of relatively small continents. Toward the end of the era the continents gathered together into a supercontinent called Pangaea, which included most of the Earth's land area.",What period started right before the breakup of Pannotia?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",620,,-1,-0.0016129032258064516,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
98681,5a46b9705fd40d001a27dc9c,Rajasthan,"Over the years, the Mughals began to have internal disputes which greatly distracted them at times. The Mughal Empire continued to weaken, and with the decline of the Mughal Empire in the 18th century, Rajputana came under the suzerainty of the Marathas. The Marathas, who were Hindus from the state of what is now Maharashtra, ruled Rajputana for most of the eighteenth century. The Maratha Empire, which had replaced the Mughal Empire as the overlord of the subcontinent, was finally replaced by the British Empire in 1818.",What did the British Empire have over time that was distracting?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",525,,-1,-0.0019047619047619048,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
79996,5a68f03f8476ee001a58a8d2,Sichuan,"In the 20th century, as Beijing, Shanghai, Nanjing, and Wuhan had all been occupied by the Japanese during the Second Sino-Japanese War, the capital of the Republic of China had been temporary relocated to Chongqing, then a major city in Sichuan. An enduring legacy of this move is that nearby inland provinces, such as Shaanxi, Gansu, and Guizhou, which previously never had modern Western-style universities, began to be developed in this regard. The difficulty of accessing the region overland from the eastern part of China and the foggy climate hindering the accuracy of Japanese bombing of the Sichuan Basin, made the region the stronghold of Chiang Kai-Shek's Kuomintang government during 1938-45, and led to the Bombing of Chongqing.",When was Guizhou the stronghold of Chiang Kai-Shek Koumintang's government?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",741,,-1,-0.001349527665317139,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
118748,573126bbe6313a140071cc91,United_States_Air_Force,"The service's B-2A aircraft entered service in the 1990s, its B-1B aircraft in the 1980s and its current B-52H aircraft in the early 1960s. The B-52 Stratofortress airframe design is over 60 years old and the B-52H aircraft currently in the active inventory were all built between 1960 and 1962. The B-52H is scheduled to remain in service for another 30 years, which would keep the airframe in service for nearly 90 years, an unprecedented length of service for any aircraft. The B-21 is projected to replace the B-52 and parts of the B-1B force by the mid-2020s.",When did the USAF introduce the B-1B aircraft? ,"{'text': array(['1980s'], dtype=object), 'answer_start': array([83], dtype=int32)}",564,1980s,83,0.14716312056737588,"(0, 600]","[0.0, 0.25)","[0, 150)"
76756,5a8c7df1fd22b3001a8d892c,Textual_criticism,"Since the canons of criticism are highly susceptible to interpretation, and at times even contradict each other, they may be employed to justify a result that fits the textual critic's aesthetic or theological agenda. Starting in the 19th century, scholars sought more rigorous methods to guide editorial judgment. Best-text editing (a complete rejection of eclecticism) became one extreme. Stemmatics and copy-text editing – while both eclectic, in that they permit the editor to select readings from multiple sources – sought to reduce subjectivity by establishing one or a few witnesses presumably as being favored by ""objective"" criteria.[citation needed] The citing of sources used, and alternate readings, and the use of original text and images helps readers and other critics determine to an extent the depth of research of the critic, and to independently verify their work.",What canons are not susceptible to interpretation?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",883,,-1,-0.0011325028312570782,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
118796,5ad18e7a645df0001a2d1f1d,Light-emitting_diode,"Recent developments in LEDs permit them to be used in environmental and task lighting. LEDs have many advantages over incandescent light sources including lower energy consumption, longer lifetime, improved physical robustness, smaller size, and faster switching. Light-emitting diodes are now used in applications as diverse as aviation lighting, automotive headlamps, advertising, general lighting, traffic signals, camera flashes and lighted wallpaper. As of 2015[update], LEDs powerful enough for room lighting remain somewhat more expensive, and require more precise current and heat management, than compact fluorescent lamp sources of comparable output.",What is an advantage to using non-LED lighting over the normal light sources?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",660,,-1,-0.0015151515151515152,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
22345,5ad4b5f75b96ef001a109e22,Slavs,"Former Soviet states, as well as countries that used to be satellite states or territories of the Warsaw Pact, have numerous minority Slavic populations, many of whom are originally from the Russian SFSR, Ukrainian SSR and Byelorussian SSR. As of now, Kazakhstan has the largest Slavic minority population with most being Russians (Ukrainians, Belarusians and Poles are present as well but in much smaller numbers).",What is the smallest minority in Kazakhstan?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",415,,-1,-0.0024096385542168677,"(0, 600]","[-0.25, 0.0)","[-1, 0)"
4765,56d0fe7217492d1400aab705,Kanye_West,"Kanye West began his early production career in the mid-1990s, making beats primarily for burgeoning local artists, eventually developing a style that involved speeding up vocal samples from classic soul records. His first official production credits came at the age of nineteen when he produced eight tracks on Down to Earth, the 1996 debut album of a Chicago rapper named Grav. For a time, West acted as a ghost producer for Deric ""D-Dot"" Angelettie. Because of his association with D-Dot, West wasn't able to release a solo album, so he formed and became a member and producer of the Go-Getters, a late-1990s Chicago rap group composed of him, GLC, Timmy G, Really Doe, and Arrowstar. His group was managed by John ""Monopoly"" Johnson, Don Crowley, and Happy Lewis under the management firm Hustle Period. After attending a series of promotional photo shoots and making some radio appearances, The Go-Getters released their first and only studio album World Record Holders in 1999. The album featured other Chicago-based rappers such as Rhymefest, Mikkey Halsted, Miss Criss, and Shayla G. Meanwhile, the production was handled by West, Arrowstar, Boogz, and Brian ""All Day"" Miller.",In what time period did Kanye begin producing?,"{'text': array(['mid-1990s'], dtype=object), 'answer_start': array([52], dtype=int32)}",1184,mid-1990s,52,0.04391891891891892,"(1000, 5000]","[0.0, 0.25)","[0, 150)"
20504,56e79b8300c9c71400d7738e,Arena_Football_League,"Although the Drive moved to Massachusetts for the 1994 season, the AFL had a number of other teams which it considered ""dynasties"", including the Tampa Bay Storm (the only team that has existed in some form for all twenty-eight contested seasons), their arch-rival the Orlando Predators, the now-defunct San Jose SaberCats of the present decade, and their rivals the Arizona Rattlers.",Before what season did the Drive move to a different state?,"{'text': array(['1994'], dtype=object), 'answer_start': array([50], dtype=int32)}",384,1994,50,0.13020833333333334,"(0, 600]","[0.0, 0.25)","[0, 150)"
4335,56ce996caab44d1400b888c1,To_Kill_a_Mockingbird,"Scholar Patrick Chura, who suggests Emmett Till was a model for Tom Robinson, enumerates the injustices endured by the fictional Tom that Till also faced. Chura notes the icon of the black rapist causing harm to the representation of the ""mythologized vulnerable and sacred Southern womanhood"". Any transgressions by black males that merely hinted at sexual contact with white females during the time the novel was set often resulted in a punishment of death for the accused. Tom Robinson's trial was juried by poor white farmers who convicted him despite overwhelming evidence of his innocence, as more educated and moderate white townspeople supported the jury's decision. Furthermore, the victim of racial injustice in To Kill a Mockingbird was physically impaired, which made him unable to commit the act he was accused of, but also crippled him in other ways. Roslyn Siegel includes Tom Robinson as an example of the recurring motif among white Southern writers of the black man as ""stupid, pathetic, defenseless, and dependent upon the fair dealing of the whites, rather than his own intelligence to save him"". Although Tom is spared from being lynched, he is killed with excessive violence during an attempted escape from prison, shot seventeen times.",The main jurors in Tom Robinson's trial were all which race?,"{'text': array(['white'], dtype=object), 'answer_start': array([371], dtype=int32)}",1258,white,371,0.294912559618442,"(1000, 5000]","[0.25, 0.5)","[150, 400)"
122598,5ad14c25645df0001a2d163a,Separation_of_church_and_state_in_the_United_States,"Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."" ""Religious freedom resulted from an alliance of unlikely partners,"" writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America. ""New Light evangelicals such as Isaac Bachus and John Leland joined forces with Deists and skeptics such as James Madison and Thomas Jefferson to fight for a complete separation of church and state.""", What profession doesn't Frank Lambert have?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",621,,-1,-0.001610305958132045,"(600, 700]","[-0.25, 0.0)","[-1, 0)"
84041,572820a64b864d1900164500,Gamal_Abdel_Nasser,"On 14 July, Iraqi army officers Abdel Karim Qasim and Abdel Salam Aref overthrew the Iraqi monarchy and, the next day, Iraqi prime minister and Nasser's chief Arab antagonist, Nuri al-Said, was killed. Nasser recognized the new government and stated that ""any attack on Iraq was tantamount to an attack on the UAR"". On 15 July, US marines landed in Lebanon, and British special forces in Jordan, upon the request of those countries' governments to prevent them from falling to pro-Nasser forces. Nasser felt that the revolution in Iraq left the road for pan-Arab unity unblocked. On 19 July, for the first time, he declared that he was opting for full Arab union, although he had no plan to merge Iraq with the UAR. While most members of the Iraqi Revolutionary Command Council (RCC) favored Iraqi-UAR unity, Qasim sought to keep Iraq independent and resented Nasser's large popular base in the country.",Where did US Marines land?,"{'text': array(['Lebanon'], dtype=object), 'answer_start': array([349], dtype=int32)}",903,Lebanon,349,0.3864894795127353,"(700, 1000]","[0.25, 0.5)","[150, 400)"
71715,5727fb6b4b864d190016413f,History_of_science,"In 1938 Otto Hahn and Fritz Strassmann discovered nuclear fission with radiochemical methods, and in 1939 Lise Meitner and Otto Robert Frisch wrote the first theoretical interpretation of the fission process, which was later improved by Niels Bohr and John A. Wheeler. Further developments took place during World War II, which led to the practical application of radar and the development and use of the atomic bomb. Though the process had begun with the invention of the cyclotron by Ernest O. Lawrence in the 1930s, physics in the postwar period entered into a phase of what historians have called ""Big Science"", requiring massive machines, budgets, and laboratories in order to test their theories and move into new frontiers. The primary patron of physics became state governments, who recognized that the support of ""basic"" research could often lead to technologies useful to both military and industrial applications. Currently, general relativity and quantum mechanics are inconsistent with each other, and efforts are underway to unify the two.",Who edited the first paper about nuclear fission?,"{'text': array(['Niels Bohr and John A. Wheeler'], dtype=object), 'answer_start': array([237], dtype=int32)}",1053,Niels Bohr and John A. Wheeler,237,0.22507122507122507,"(1000, 5000]","[0.0, 0.25)","[150, 400)"
24009,56f815cea6d7ea1400e173a5,Szlachta,"In the late 14th century, in the Grand Duchy of Lithuania, Vytautas the Great reformed the Grand Duchy's army: instead of calling all men to arms, he created forces comprising professional warriors—bajorai (""nobles""; see the cognate ""boyar""). As there were not enough nobles, Vytautas trained suitable men, relieving them of labor on the land and of other duties; for their military service to the Grand Duke, they were granted land that was worked by hired men (veldams). The newly formed noble families generally took up, as their family names, the Lithuanian pagan given names of their ennobled ancestors; this was the case with the Goštautai, Radvilos, Astikai, Kęsgailos and others. These families were granted their coats of arms under the Union of Horodlo (1413).",WHo reformed the grand duchy army?,"{'text': array(['Vytautas the Great'], dtype=object), 'answer_start': array([59], dtype=int32)}",770,Vytautas the Great,59,0.07662337662337662,"(700, 1000]","[0.0, 0.25)","[0, 150)"
66920,5ad155f1645df0001a2d17f0,Electric_motor,"A major turning point in the development of DC machines took place in 1864, when Antonio Pacinotti described for the first time the ring armature with its symmetrically grouped coils closed upon themselves and connected to the bars of a commutator, the brushes of which delivered practically non-fluctuating current. The first commercially successful DC motors followed the invention by Zénobe Gramme who, in 1871, reinvented Pacinotti's design. In 1873, Gramme showed that his dynamo could be used as a motor, which he demonstrated to great effect at exhibitions in Vienna and Philadelphia by connecting two such DC motors at a distance of up to 2 km away from each other, one as a generator. (See also 1873 : l'expérience décisive [Decisive Workaround] .)", In what two cities did Gramme never conduct his demonstrations?,"{'text': array([], dtype=object), 'answer_start': array([], dtype=int32)}",757,,-1,-0.001321003963011889,"(700, 1000]","[-0.25, 0.0)","[-1, 0)"
