,actual_answer,predicted_answer,answer_match
161,,"[cls] who released the hit single "" american land ""? [sep] one of the early anthemic tunes, "" promised land "" by joe smooth, was covered and charted within a week by the style council. europeans embraced house, and began booking legendary american house djs to play at the big clubs, such as ministry of sound, whose resident, justin berkmann brought in larry levan. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",
162,somali,"##shitic languages, which is the most well - documented? [sep] the somali language is a member of the cushitic branch of the afro - asiatic family. its nearest",1.0
163,john rut,"rut visited st. john's in 1527 he found norman, breton and portuguese ships in the harbour. on 3 august 1527, rut wrote a letter to king henry on the findings of his voyage to north america ; this was the first known letter sent from north america. st. jehan is shown on nicholas desliens'world map of 1541 and san joham is found in joao freire's atlas of 1546. it was during this time that water street was first developed, making it the oldest street in north america. [ dubious – discuss",0.0
164,2010,"[cls] in what year did the afl begin operating under the single - entity model? [sep] the afl currently runs as under the single - entity model, with the league owning the rights to the teams, players, and coaches.",0.0
165,cyberbullying,,0.0
166,,"opposite - sex married couples living together, 3, 510 ( 7. 5 % ) had a female householder with no husband present, 1, 327 ( 2. 8 % ) had a male householder with no wife present. there were 2, 867 ( 6. 1 % ) unmarried opposite - sex partnerships, and 416 ( 0. 9 % ) same - sex married couples or partnerships. 22, 716 households ( 48. 4 % ) were made up of individuals and 5, 551 ( 11. 8 % ) had someone living alone who was 65 years of age or older. the average household size was 1. 87. there were 17, 929 families ( 38. 2 % of all households ) ; the average",
167,"july 15, 1975",,0.0
168,,,
169,justinian,"roman empire, often referred to as the byzantine empire after the fall of its western",0.0
170,humans and their societies,"? [sep] anthropology is the study of humans and their societies in the past and present. its main subdivisions are social anthropology and cultural anthropology, which describes the workings of societies around",1.0
171,,,
172,that he was being investigated on suspicion of the crime of inciting subversion,,0.0
173,,"in 1859, and transformed into a party of the growing urban middle - class, under the long leadership of william ewart gladstone. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",
174,"when ice from an icefall is severely broken up, increasing ablation surface area during summer",,0.0
175,,"##cracies with what? [sep] ireland, the united kingdom and the three crown dependencies are all parliamentary democracies, with their own separate parliaments. all parts of the united kingdom return members to parliament in london. in addition to this, voters in scotland, wales and northern ireland return members to a parliament in edinburgh and to assemblies in cardiff and belfast respectively. governance in the norm is by majority rule, however, northern ireland uses a system of power sharing whereby unionists and nationalists share executive posts proportionately and where the assent of both groups are required for the northern ireland assembly to make certain decisions. ( in the",
176,,"31 u. s. c. § 5112. section 5112 prescribes the forms, in which the united states dollars should be issued. these coins are both designated in section 5112 as "" legal tender "" in payment of debts. the sacagawea dollar is one example of the copper alloy dollar. the pure silver dollar is known as the american silver eagle. section",
177,cape town,computer ( pc ) - based videoconferencing. in 1992 cu - seeme was developed at cornell by tim,0.0
178,pyramid stage,,0.0
179,western,"three sides by the city of los angeles – pacific palisades to the north, brentwood on the northeast, sawtelle on the east, mar vista on the southeast, and venice on the south. santa monica is well known for its affluent single - family neighborhoods but also has many neighborhoods consisting primarily of condominiums and apartments. over two - thirds of santa monica's residents are renters. the census bureau",0.0
180,the treaty of fontainebleau,[cls] in which treaty was napoleon exiled? [sep],0.0
181,balfour declaration of 1926 and the statute of westminster 1931,,0.0
182,solent city,"time of the 2011 census they had merged to become the sixth largest built - up area in england with a population of 855, 569. this built - up area is part of the metropolitan area known as south hampshire, which is also known as solent city, particularly in the media when discussing local governance organisational changes. with a population of over 1.",1.0
183,japanese government,"and freed up satellite bandwidth for mobile services. fenui – news from tuvalu is a free digital publication of the tuvalu media department that is emailed to subscribers and operates a facebook page,",0.0
184,cass business school,"##lt international business school, escp europe, european business school london, imperial college business school and the london business school. london is also home to many specialist arts education institutions, including the academy of live and recorded arts, central school of ballet, lamda, london college of contemporary arts ( lcca ), london contemporary dance school, national centre for circus arts, rada, rambert school of ballet and contemporary dance, the royal college of art, the royal college of music and trinity laban. [sep]",0.0
185,fruit flies,,0.0
186,phil dow,,0.0
187,brian dunkleman,,0.0
188,competition,"] there are two types of amensalism, competition",1.0
189,dockyard technical college,"college renamed in 1959? [sep] the city was also home to the royal naval engineering college ; opened in 1880 in keyham, it trained engineering students for five years before they completed the remaining two years of the course at greenwich. the college closed in 1910, but in 1940 a new college opened at mana",0.0
190,"myanmar imports most of its weapons from russia, ukraine, china and india.",,0.0
191,,,
192,,( 6 feet ),
193,identically,,0.0
194,"1,000 mm (39.4 in",,0.0
195,,"royal canadian navy ( rcn ), canadian army, and royal canadian air force ( rcaf ). personnel may belong to either the regular force or the reserve force, which has four sub - components : the primary reserve, supplementary reserve, cadet organizations administration and training service, and the canadian rangers. under the national",
196,turkey,"ha ), contain limestone pillars carved with animals, insects, and birds. stone tools were used by perhaps as many as hundreds of people to create the pillars, which might have supported roofs. other early ppna sites dating to around 9, 500 to 9, 000 bce have been found in jericho, israel ( notably ain mallaha, nahal oren, and kfar hahoresh ), gilgal in the jordan valley, and by",0.0
197,,"[cls] what administration did the cia implement carnivore under? [sep] carnivore was an electronic eavesdropping software system implemented by the fbi during the clinton administration ; it was designed to monitor email and electronic communications. after prolonged negative coverage in the press, the fbi changed the name of its system from "" carnivore "" to "" dcs1000. "" dcs is reported to stand for "" digital collection system "" ; the system has the same functions as before. the associated press reported in mid - january 2005 that the fbi essentially abandoned the use of carnivore in 2001, in favor of commercially available software, such as narusins",
198,other religious literature,"final authority for all their beliefs, although sociologist andrew holden's ethnographic study of the religion concluded that pronouncements of the governing body, through watch tower society publications, carry almost as much weight as the bible. regular personal bible reading is frequently recommended ; witnesses are discouraged from formulating doctrines and "" private ideas "" reached through bible research independent of watch tower society publications, and are cautioned against reading other religious literature. adherents are told to have "" complete confidence "" in the leadership",1.0
199,task being performed,"systems of kinship and descent among human hunter - gatherers were relatively flexible, although there is evidence that early human kinship in general tended to be matrilineal. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",0.0
200,isotropic,,0.0
201,do i make you proud,"2006, taylor hicks",0.0
202,emperor meiji,,0.0
203,"restaurants, the hotel and tourist industry, and community-supported agriculture",,0.0
204,helios,of fruits and grains. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],0.0
205,jointed animals,,0.0
206,,,
207,the whitbread around the world yacht race,,0.0
208,regius poem,,0.0
209,purely within the realm of science,"answered? [sep] stephen hawking and co - author leonard mlodinow state in their book, the grand design,",0.0
210,rome,"architecture, a faculty that teaches ( pre - modernist ) traditional and classical architecture and urban planning ( e. g. following the principles of new urbanism and new classical architecture ). it also awards the renowned annual driehaus architecture prize. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",0.0
211,,", apple's pc",
212,"allan coukell,","[sep] possible improvements include clarification of clinical trial regulations by fda. furthermore, appropriate economic incentives could persuade pharmaceutical companies to invest in this endeavor. antibiotic development to advance patient treatment ( adapt ) act aims to fast track the drug development to combat the growing threat of'superbugs '. under this act, fda can approve antibiotics and antifungals treating life - threatening infections based on smaller clinical trials. the cdc will monitor the use of antibiotics and the emerging resistance, and publish the data. the fda antibiotics labeling process,'susceptibility test interpretive criteria for microbial organisms'or'breakpoints ', will provide accurate data to healthcare professionals. according to allan coukell, senior director for health programs at",1.0
213,"arista, j records and jive records",with the artists from those labels being moved to rca records. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],0.0
214,,,
215,foxxy cleopatra,"norway, and belgium. in 2003",0.0
216,,pocket radio ( the kadette jr.,
217,1885,of 1884 – 85,0.0
218,the supreme court,"? [sep] a common misperception is that the supreme court is the only court that may determine constitutionality ; the power is exercised even by the inferior courts. but only supreme court decisions are binding across the nation. decisions of a court of appeals, for instance, are binding only in the circuit over which the court has jurisdiction. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",1.0
219,,"wiki about all things ku. they have received student funding for operations in 2008 – 09. the ku department of english publishes the coal city review, an annual literary journal of prose, poetry, reviews and illustrations. the review",
220,melburnians,,0.0
221,move into the vertical motion shaft and lock themselves in,,0.0
222,,"[sep] the arena football league briefly had a two - game exhibition season in the early 2000s, a practice that ended in 2003 with a new television contract. exhibition games outside of a structured season are relatively common among indoor american football leagues ; because teams switch leagues frequently at that level of play, it is not uncommon to see some of the smaller leagues schedule exhibition games against teams that are from another league, about to join the league as a probational franchise, or a semi - pro outdoor team to fill holes in a schedule. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad]",
223,duits,-,0.0
224,westminster-based parties,,0.0
225,council of europe,"each month, with all other business being conducted in brussels and luxembourg. those sessions take place in the immeuble louise weiss, inaugurated in 1999, which houses the largest parliamentary assembly room in europe and of any democratic institution in the world. before that, the ep sessions had to take place in the main council of europe building, the palace of europe",1.0
226,bony structures and blood vessels,"dermis is made up of many components, such",0.0
227,universalism,,0.0
228,g.r. hawting,,0.0
229,,,
230,,,
231,north to south,,0.0
232,598,"namibia have in 2002? [sep] the malaria problem seems to be compounded by the aids epidemic. research has shown that in namibia the risk of contracting malaria is 14. 5 % greater if a person is also infected with hiv. the risk of death from malaria is also raised by approximately 50 % with a concurrent hiv infection. given infection rates this large, as",0.0
233,12%,,0.0
234,moderate incoming traffic,", elevator cars in a group are recalled to the lobby to provide expeditious service to passengers arriving at the building, most typically in the morning as people arrive for work or at the conclusion of a lunch - time period. elevators are dispatched one - by - one when they reach a pre - determined passenger load, or when they have had their doors opened for a certain period of time. the next",0.0
235,competition,,0.0
236,adi shankaracharya,,0.0
237,,self - released 1977 singles of desperate bicycles. these diy imperatives would help form the production and distribution infrastructure of post - punk and the indie music scene that later blossomed in the mid - 1980s. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],
238,,"ocean fisheries consider potential effects on the entire antarctic ecosystem. despite these new acts, unregulated and illegal fishing, particularly of patagonian toothfish ( marketed as chilean sea bass in the u. s. ), remains a serious problem. the illegal fishing of toothfish has been increasing, with estimates of 32, 000 tonnes ( 35, 300 short tons ) in 2000. [sep]",
239,barcelona,"only managed to end above barca on three occasions from 80 seasons ( 1928 – 2015 ) and the only all - catalan copa del rey final was won by barca in 1957. espanyol has the consolation of achieving the largest margin win with a 6 – 0 in 1951, while barcelona's biggest win was 5 – 0 on five occasions ( in",1.0
240,,changed towards a generally autonomous model which,
241,general de wimpffen,,0.0
242,established their own orders,"empire, the viceroy of india, and the colonial governors, as well as on nominations from within the united kingdom. as the empire evolved into the commonwealth, nominations continued to come from the commonwealth",0.0
243,causality,past is the set of events that can send light signals to an entity and the future is the set of events to which an entity can send light signals. [sep] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad] [pad],0.0
244,as eight significant dimensions of one's behaviour,,0.0
245,,"city. the oudegracht is a curved canal, partly following the ancient main branch of the rhine. it is lined with the unique wharf - basement structures that create a two - level street along the canals. the inner city has largely retained its medieval structure, and the moat ringing the old town is largely intact. because of the role of utrecht as a fortified city, construction outside the medieval centre and its city walls was restricted until the 19th century. surrounding the medieval core there is a ring of late 19th - and early 20th - century neighbourhoods, with",
246,spanish dollar,,0.0
247,zhu yuanzhang,,0.0
248,,", 000 live",
249,maratha suzerainty,,0.0
250,kompa,"the capital port - au - prince after the declaration of independence. the port - au - prince carnival is one of the largest in north america. it is known as kanaval in the creole language. it starts in january, known as "" pre - kanaval "", while the main carnival activities begin in february. in july 2012, haiti had another carnival called kanaval de fl",0.0
251,the nazis,,0.0
252,eat from multiple levels of the food chain,,0.0
253,higher cost of the lcd technology,,0.0
254,,,
255,,,
256,,,
257,1980s,,0.0
258,,,
259,,,
260,,", have numerous minority slavic populations, many of whom are originally from the russian sfsr, ukrainian ssr and byelorussian ssr. as of now, kazakhstan has the largest slavic minority population with most being russians ( ukrainians, belarusians and poles are present as well but in much smaller numbers ).",
261,mid-1990s,"1990s chicago rap group composed of him, glc, timmy g, really doe, and arrowstar. his group was managed by john "" monopoly "" johnson, don crowley, and happy lewis under the management firm hustle period. after",0.0
262,1994,"to a different state? [sep] although the drive moved to massachusetts for the 1994 season, the afl had a number of other teams which it considered "" dynasties "", including the tampa bay storm ( the only team that has existed in some form for all twenty - eight contested seasons ), their arch - rival the orlando predators, the now - defunct san jose sabercats of",1.0
263,white,,0.0
264,,,
265,lebanon,"[cls] where did us marines land? [sep] on 14 july, iraqi army officers abdel karim qasim and abdel salam aref overthrew the iraqi monarchy and, the next day, iraqi prime minister and nasser's chief arab antagonist, nur",0.0
266,niels bohr and john a. wheeler,"##tner and otto robert frisch wrote the first theoretical interpretation of the fission process, which was later improved by niels bohr and john a. wheeler. further developments took place during world war ii,",1.0
267,vytautas the great,,0.0
